State/Province,County/Parish,DI Basin,DI Play,DI Subplay,Grantor,Grantee Alias,Vol/Page,Record Number,Instrument Type,Instrument Date,Record Date,Effective Date,Term (Months),Expiration of Primary Term,Options/Extensions,Ext. Bonus,Ext. Term (Months),Bonus,Royalty,Area (Acres),Abstract,Section,Township,Township Direction,Range,Range Direction,Block,BLM,State Lease,Grantee,Grantor Address,Grantee Address,Majority Legal Assignee,Majority Assignment Effective Date,Majority Legal Assignee Interest,Majority Assignment Vol/Page,Max Depth,Min Depth,Latitude (WGS84),Longitude (WGS84)
MS,WILKINSON (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,MAGNUM O&G,00241/0627,V00241P00627,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,169.91999816,,33.00,4.00,N         ,1.00,W         ,,0,0,MAGNUM O&G INC ET AL ," , ,    "," , ,    ",,,,,,0,31.28275948,-91.21891188
MS,WILKINSON (MS),GULF COAST EAST,TUSCALOOSA MARINE SHALE,,BUREAU OF LAND MANAGEMENT ET AL ,MAGNUM O&G,00241/0627,V00241P00627,Memo of lease,2020-03-09,2020-03-31,2020-02-01,120,2030-02-01,0,,0.00000000,,,169.91999816,,33.00,4.00,N         ,1.00,W         ,,0,0,MAGNUM O&G INC ET AL ," , ,    "," , ,    ",,,,,,0,31.28275948,-91.21891188
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,9.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.15011190,-89.00233897
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,8.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.15005259,-89.01906325
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,9.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.15011190,-89.00233897
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,11.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.15019031,-88.96843921
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,14.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.13562997,-88.96857638
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,14.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.13562997,-88.96857638
MS,PERRY (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,00040/0761,202000478,Memo of lease,2020-03-09,2020-03-30,2020-02-01,120,2030-02-01,0,,0.00000000,,,1439.18994140,,8.00,2.00,N         ,10.00,W         ,,0,0,R & R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401-0313",,,,,,0,31.15005259,-89.01906325
WY,CAMPBELL (WY),POWDER RIVER,POWDER RIVER,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,03314/0085,2020-05430,Memo of lease,2020-11-13,2020-11-20,2020-06-01,120,2030-06-01,0,,0.00000000,,,198.32000732,,13.00,46.00,N         ,72.00,W         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,43.96357605,-105.45362187
WY,CAMPBELL (WY),POWDER RIVER,POWDER RIVER,,BUREAU OF LAND MANAGEMENT ET AL ,R&R ROYALTY,03314/0085,2020-05430,Memo of lease,2020-11-13,2020-11-20,2020-06-01,120,2030-06-01,0,,0.00000000,,,198.32000732,,24.00,46.00,N         ,72.00,W         ,,0,0,R&R ROYALTY LTD ET AL ," , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,43.94899211,-105.45365220
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,29.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37077058,-91.01615512
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,24.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.38570918,-90.96544955
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,29.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37077058,-91.01615512
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,14.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.40000248,-90.98189850
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,23.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.38542482,-90.98202064
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,1.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.42899202,-90.96529674
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,14.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.40000248,-90.98189850
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,14.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.40000248,-90.98189850
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,12.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.41459175,-90.96514422
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,1.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.42899202,-90.96529674
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,28.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37081649,-90.99911061
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,13.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.40014379,-90.96516719
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,29.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37077058,-91.01615512
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,27.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.36955591,-90.98279892
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,29.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37077058,-91.01615512
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,29.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37077058,-91.01615512
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,28.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.37081649,-90.99911061
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,14.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.40000248,-90.98189850
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,12.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.41459175,-90.96514422
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,23.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.38542482,-90.98202064
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,12.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.41459175,-90.96514422
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,23.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.38542482,-90.98202064
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,22.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.38559631,-90.99885114
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,12.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.41459175,-90.96514422
MS,FRANKLIN (MS),GULF COAST EAST,,,THE UNITED STATES OF AMERICA ET AL,R&R ROYALTY,0O212/0150,69049,Memo of lease,2020-03-09,2020-03-30,2020-03-09,120,2030-03-09,0,,0.00000000,,,3855.76000000,,1.00,5.00,N         ,2.00,E         ,,0,0,R&R ROYALTY LTD ET AL ,"NA, ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.42899202,-90.96529674
MS,FRANKLIN (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,MAGNUM PRODUCING,0O212/0147,69048,Memo of lease,2020-03-06,2020-03-30,2020-03-06,120,2030-03-06,0,,0.00000000,,,203.52000427,,35.00,6.00,N         ,2.00,E         ,,0,0,MAGNUM PRODUCING LP ET AL ,"NOT AVAILABLE  , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.45744716,-90.98228733
MS,FRANKLIN (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,MAGNUM PRODUCING,0O212/0147,69048,Memo of lease,2020-03-06,2020-03-30,2020-03-06,120,2030-03-06,0,,0.00000000,,,203.52000427,,35.00,6.00,N         ,2.00,E         ,,0,0,MAGNUM PRODUCING LP ET AL ,"NOT AVAILABLE  , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.45744716,-90.98228733
MS,FRANKLIN (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,MAGNUM PRODUCING,0O212/0147,69048,Memo of lease,2020-03-06,2020-03-30,2020-03-06,120,2030-03-06,0,,0.00000000,,,203.52000427,,35.00,6.00,N         ,2.00,E         ,,0,0,MAGNUM PRODUCING LP ET AL ,"NOT AVAILABLE  , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.45744716,-90.98228733
MS,FRANKLIN (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ET AL ,MAGNUM PRODUCING,0O212/0147,69048,Memo of lease,2020-03-06,2020-03-30,2020-03-06,120,2030-03-06,0,,0.00000000,,,203.52000427,,35.00,6.00,N         ,2.00,E         ,,0,0,MAGNUM PRODUCING LP ET AL ,"NOT AVAILABLE  , ,    ","500 N SHORELINE BLVD SUITE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,31.45744716,-90.98228733
TX,VICTORIA (TX),GULF COAST WEST,,,GOODRICH COMPANY L L C ET AL ,MAGNUM PRODUCING,NA/NA,202103161,Memo of lease,2021-03-11,2021-03-16,2021-03-11,12,2022-03-11,0,,0.00000000,,,204.30799865,429,,,,,,,0,0,MAGNUM PRODUCING L P ET AL ,"1001 FANNIN STREET SUITE 4670  , HOUSTON, TX 77002","500 N SHORELINE BLVD SUITE 501  , CORPUS CHRISTI, TX 78401",,,,,,0,29.07971232,-96.97590186
TX,VICTORIA (TX),GULF COAST WEST,,,GOODRICH COMPANY L L C ET AL ,MAGNUM PRODUCING,NA/NA,202103161,Memo of lease,2021-03-11,2021-03-16,2021-03-11,12,2022-03-11,0,,0.00000000,,,204.30799865,175,,,,,,,0,0,MAGNUM PRODUCING L P ET AL ,"1001 FANNIN STREET SUITE 4670  , HOUSTON, TX 77002","500 N SHORELINE BLVD SUITE 501  , CORPUS CHRISTI, TX 78401",,,,,,0,29.08945844,-96.97750398
TX,VICTORIA (TX),GULF COAST WEST,,,VENTURE PARTNERS LTD ET AL ,MAGNUM PRODUCING,NA/NA,202101249,Memo of lease,2021-01-18,2021-01-26,2021-01-13,12,2022-01-13,0,,0.00000000,,,204.30799865,175,,,,,,,0,0,MAGNUM PRODUCING LP ET AL ," , ,    ","500 N SHORELINE STE 322  , CORPUS CHRISTI, TX 78401",,,,,10000,0,29.08945844,-96.97750398
TX,VICTORIA (TX),GULF COAST WEST,,,VENTURE PARTNERS LTD ET AL ,MAGNUM PRODUCING,NA/NA,202101249,Memo of lease,2021-01-18,2021-01-26,2021-01-13,12,2022-01-13,0,,0.00000000,,,204.30799865,429,,,,,,,0,0,MAGNUM PRODUCING LP ET AL ," , ,    ","500 N SHORELINE STE 322  , CORPUS CHRISTI, TX 78401",,,,,10000,0,29.07971232,-96.97590186
TX,VICTORIA (TX),GULF COAST WEST,,,VENTURE PARTNERS LTD ET AL ,MAGNUM PRODUCING,NA/NA,202101249,Memo of lease,2021-01-18,2021-01-26,2021-01-13,12,2022-01-13,0,,0.00000000,,,204.30799865,515,,,,,,"Blk: 1, Sec: 14",0,0,MAGNUM PRODUCING LP ET AL ," , ,    ","500 N SHORELINE STE 322  , CORPUS CHRISTI, TX 78401",,,,,10000,0,29.07285748,-96.99314479
MS,STONE (MS),GULF COAST EAST,,,BUREAU OF LAND MANAGEMENT ,R&R ROYALTY,MS-2020-12-0117/NA,MSES059726,Lease,2020-12-17,2020-12-17,,120,2030-12-17,0,,0.00000000,2.00000000,0.12500000,81.63999938,,31.00,2.00,S         ,9.00,W         ,,1,0,R&R ROYALTY ," , ,    ","500 N SHORELINE 322  , CORPUS CHRISTI, TX 78401",,,,,,0,30.83040907,-88.92689685
